condition,preset,call_id,trial,seed,length_bin,response_note_count,response_duration_sec,t_endpoint_commit_ms,t_infer_start_ms,t_first_token_ready_ms,t_first_midi_queued_ms,t_first_midi_out_ms,t_response_end_ms,endpoint_to_first_midi_ms,first_token_latency_ms,queue_delay_ms,total_generation_ms,buffer_underrun_count,buffer_underrun_rate,preload_window_ms,micro_buffer_ms,source_latency_event
L0_preload_off,pentatonic_no_theory,A01,1,31261671,medium,12,4.800000,0.000000,0.000000,367.593700,367.593700,447.593700,5247.593700,447.593700,367.593700,80.000000,1392.789000,1,1.000000,0.000000,80.000000,1
L1_preload_on,pentatonic_no_theory,A01,1,31261671,medium,12,4.800000,0.000000,-150.000000,217.593700,217.593700,297.593700,5097.593700,297.593700,367.593700,80.000000,1392.789000,1,1.000000,150.000000,80.000000,1
L0_preload_off,pentatonic_no_theory,A01,2,31262680,medium,14,4.800000,0.000000,0.000000,54.216800,54.216800,134.216800,4934.216800,134.216800,54.216800,80.000000,1065.173000,0,0.000000,0.000000,80.000000,2
L1_preload_on,pentatonic_no_theory,A01,2,31262680,medium,14,4.800000,0.000000,-150.000000,-95.783200,0.000000,80.000000,4880.000000,80.000000,54.216800,80.000000,1065.173000,0,0.000000,150.000000,80.000000,2
L0_preload_off,pentatonic_no_theory,A01,3,31263689,medium,13,4.800000,0.000000,0.000000,65.193000,65.193000,145.193000,4945.193000,145.193000,65.193000,80.000000,1002.766000,0,0.000000,0.000000,80.000000,3
L1_preload_on,pentatonic_no_theory,A01,3,31263689,medium,13,4.800000,0.000000,-150.000000,-84.807000,0.000000,80.000000,4880.000000,80.000000,65.193000,80.000000,1002.766000,0,0.000000,150.000000,80.000000,3
L0_preload_off,pentatonic_no_theory,A01,4,31264698,medium,13,4.800000,0.000000,0.000000,61.140400,61.140400,141.140400,4941.140400,141.140400,61.140400,80.000000,1406.954000,0,0.000000,0.000000,80.000000,4
L1_preload_on,pentatonic_no_theory,A01,4,31264698,medium,13,4.800000,0.000000,-150.000000,-88.859600,0.000000,80.000000,4880.000000,80.000000,61.140400,80.000000,1406.954000,0,0.000000,150.000000,80.000000,4
L0_preload_off,pentatonic_no_theory,A01,5,31265707,medium,14,4.800000,0.000000,0.000000,49.309900,49.309900,129.309900,4929.309900,129.309900,49.309900,80.000000,838.895000,0,0.000000,0.000000,80.000000,5
L1_preload_on,pentatonic_no_theory,A01,5,31265707,medium,14,4.800000,0.000000,-150.000000,-100.690100,0.000000,80.000000,4880.000000,80.000000,49.309900,80.000000,838.895000,0,0.000000,150.000000,80.000000,5
L0_preload_off,pentatonic_no_theory,A01,6,31266716,medium,12,4.800000,0.000000,0.000000,51.343200,51.343200,131.343200,4931.343200,131.343200,51.343200,80.000000,870.095000,0,0.000000,0.000000,80.000000,6
L1_preload_on,pentatonic_no_theory,A01,6,31266716,medium,12,4.800000,0.000000,-150.000000,-98.656800,0.000000,80.000000,4880.000000,80.000000,51.343200,80.000000,870.095000,0,0.000000,150.000000,80.000000,6
L0_preload_off,pentatonic_no_theory,A01,7,31267725,medium,12,4.800000,0.000000,0.000000,54.429600,54.429600,134.429600,4934.429600,134.429600,54.429600,80.000000,760.092000,0,0.000000,0.000000,80.000000,7
L1_preload_on,pentatonic_no_theory,A01,7,31267725,medium,12,4.800000,0.000000,-150.000000,-95.570400,0.000000,80.000000,4880.000000,80.000000,54.429600,80.000000,760.092000,0,0.000000,150.000000,80.000000,7
L0_preload_off,pentatonic_no_theory,A01,8,31268734,short,8,4.800000,0.000000,0.000000,53.480200,53.480200,133.480200,4933.480200,133.480200,53.480200,80.000000,869.545000,0,0.000000,0.000000,80.000000,8
L1_preload_on,pentatonic_no_theory,A01,8,31268734,short,8,4.800000,0.000000,-150.000000,-96.519800,0.000000,80.000000,4880.000000,80.000000,53.480200,80.000000,869.545000,0,0.000000,150.000000,80.000000,8
L0_preload_off,pentatonic_no_theory,A01,9,31269743,medium,13,4.800000,0.000000,0.000000,51.088500,51.088500,131.088500,4931.088500,131.088500,51.088500,80.000000,1010.575000,0,0.000000,0.000000,80.000000,9
