call_id,origin,source_dataset,category,sub_category,preset,candidate,trial,seed,source_experiment,source_variant,score_version,response_midi_file,response_midi_sha256,previous_objective_score,rescore_abs_drift,objective_score,style_compliance_score,non_style_structural_score,tonality_score,rhythm_score,interval_score,repetition_score,pitch_diversity_score,compression_score,pche,upc,psr,tone_span_ratio,cpr,longest_repeat_run,strong_beat_stable_rate,qualified_note_rate,qualified_rhythm_rate,groove_similarity,cadence_score,max_abs_interval,note_count,duration_seconds
R17,real_public_dataset,calls_50,real_two_bar_monophonic_major_minor,copied_from_call50,pentatonic_no_theory,amt_small_raw,14,107275016,A0_A6_shared_ablation_batch,A0,structural_compliance_v1.1,S001_response_only.mid,d6cdf33486d0a34043b7f9d627549bbd632877aea391b4798abb4d7d1aa950e8,0.547922,0.000000360,0.547922,0.477579,0.598859,0.300000,0.672917,1.000000,1.000000,0.009277,0.060395,1.360964,3.000000,0.900000,0.000000,0.000000,1.000000,0.000000,0.650000,0.650000,0.718750,0.000000,3.000000,20.000000,5.772000
A04,artificial_stress,calls_50,antecedent_half_cadence,copied_from_call50,pentatonic_no_theory,amt_small_raw,14,34274797,A0_A6_shared_ablation_batch,A0,structural_compliance_v1.1,S002_response_only.mid,2304f568d317be0e3dff80e126d07c2be684a45e3b0437eb46a326ac549eec12,0.750053,0.000000447,0.750053,0.723810,0.769056,0.908333,0.520833,0.714286,0.714286,0.868305,0.816327,2.155639,5.000000,0.875000,0.285714,0.142857,2.000000,1.000000,0.625000,0.250000,0.687500,0.850000,67.000000,8.000000,4.800000
P028,public_midi_extract,POP909,chord_arpeggio_polyphonic,two_bar_pop909_piano,pentatonic_no_theory,amt_small_raw,5,68265818,A0_A6_shared_ablation_batch,A0,structural_compliance_v1.1,S003_response_only.mid,2deb15679bf7b26f9838660686d6b472233ef5c36b3ce0c8e8df5f76a1e208af,0.453148,0.000000097,0.453148,0.390834,0.498272,0.108225,0.701705,0.537500,1.000000,0.026259,0.285714,2.618967,7.000000,0.181818,0.218750,0.000000,1.000000,0.142857,0.969697,0.666667,0.468750,0.000000,28.000000,33.000000,5.340000
R04,real_public_dataset,calls_50,real_two_bar_monophonic_major_minor,copied_from_call50,pentatonic_no_theory,amt_small_raw,5,94265896,A0_A6_shared_ablation_batch,A0,structural_compliance_v1.1,S004_response_only.mid,86791b7c822356275456c47d4ae8fc4f958a273103455250efb7257e8436dca4,0.568004,0.000000195,0.568004,0.492377,0.622768,0.087719,0.937500,0.933333,0.888889,0.033792,0.462524,2.610064,7.000000,0.263158,0.000000,0.055556,2.000000,0.000000,1.000000,1.000000,0.812500,0.000000,7.000000,19.000000,5.364000
R04,real_public_dataset,calls_50,real_two_bar_monophonic_major_minor,copied_from_call50,pentatonic_no_theory,amt_small_raw,2,94262869,A0_A6_shared_ablation_batch,A0,structural_compliance_v1.1,S005_response_only.mid,71be9f63edb9493bc26d750b8b5edc1cda641455c76aac7bf5fc1d48708eb006,0.700754,0.000000133,0.700754,0.672354,0.721319,0.448148,0.918981,0.894118,1.000000,0.378743,0.443997,2.468303,6.000000,0.444444,0.000000,0.000000,1.000000,0.200000,1.000000,0.944444,0.812500,0.700000,7.000000,18.000000,5.652000
R12,real_public_dataset,calls_50,real_two_bar_monophonic_major_minor,copied_from_call50,pentatonic_no_theory,amt_small_raw,6,102266929,A0_A6_shared_ablation_batch,A0,structural_compliance_v1.1,S006_response_only.mid,9236684781d94427e019d4ae3a32cf732b920514467826bd5bbfd0bb50abf63b,0.541881,0.000000463,0.541881,0.752712,0.389210,0.772222,0.731250,0.765517,0.000000,0.412784,0.301587,2.428073,6.000000,0.866667,0.068966,0.379310,8.000000,0.600000,0.666667,0.933333,0.593750,0.850000,12.000000,30.000000,5.688000
P041,public_midi_extract,POP909,chromatic_outside,two_bar_pop909_piano,pentatonic_no_theory,amt_small_raw,3,81263839,A0_A6_shared_ablation_batch,A0,structural_compliance_v1.1,S007_response_only.mid,ddc564c98f99311c9390432af76bd5a92d2053081788a7c875e5b1c9969a7946,0.637392,0.000000433,0.637392,0.580766,0.678398,0.382353,0.799020,0.300000,1.000000,0.807016,0.664887,2.228072,5.000000,0.647059,0.437500,0.000000,1.000000,0.500000,1.000000,0.647059,0.750000,0.000000,24.000000,17.000000,5.352000
R38,real_public_dataset,calls_50,real_two_bar_monophonic_major_minor,copied_from_call50,pentatonic_no_theory,amt_small_raw,4,128264989,A0_A6_shared_ablation_batch,A0,structural_compliance_v1.1,S008_response_only.mid,9f0f0b39df6e2659eb61ae3bbc7aafb4120d90a52f37b1d6e27108179866992e,0.718925,0.000000491,0.718925,0.782588,0.672825,0.749415,0.819079,0.857143,1.000000,0.542519,0.000000,1.725250,6.000000,0.964912,0.035714,0.000000,1.000000,0.833333,0.929825,0.964912,0.562500,0.450000,9.000000,57.000000,4.896000
P034,public_midi_extract,POP909,dense_fast,two_bar_pop909_bridge,pentatonic_no_theory,amt_small_raw,8,74268863,A0_A6_shared_ablation_batch,A0,structural_compliance_v1.1,S009_response_only.mid,2e7162c386712d4b472dd0a4adf8a9dcdc9d4cbc26a6151e31dd4c2efb95d3f1,0.476619,0.000000034,0.476619,0.568452,0.410119,0.545455,0.593750,0.311628,0.906977,0.000000,0.366597,2.929517,9.000000,0.636364,0.604651,0.046512,2.000000,1.000000,0.409091,0.840909,0.531250,0.000000,36.000000,44.000000,5.484000
P010,public_midi_extract,POP909,clear_motif_melody,two_bar_pop909_melody,pentatonic_no_theory,amt_small_raw,1,50261728,A0_A6_shared_ablation_batch,A0,structural_compliance_v1.1,S010_response_only.mid,dde3a3e43888e4bc8ea341e2e3c5ee1ff645a14bf45f45ac9a73e13feebfd645,0.537505,0.000000320,0.537505,0.667196,0.443592,0.655051,0.680556,0.375000,0.812500,0.127308,0.419600,2.499545,7.000000,0.848485,0.531250,0.093750,2.000000,0.666667,0.939394,0.727273,0.375000,0.450000,60.000000,33.000000,6.132000
