preset,candidate,sample_count,mean_objective_score,sd_objective_score,ci95_low_objective_score,ci95_high_objective_score,mean_style_compliance_score,sd_style_compliance_score,ci95_low_style_compliance_score,ci95_high_style_compliance_score,mean_non_style_structural_score,sd_non_style_structural_score,ci95_low_non_style_structural_score,ci95_high_non_style_structural_score
pentatonic_balanced,amt_small_controlled,1500,0.742009,0.081236,0.737897,0.746120,0.810309,0.091080,0.805699,0.814918,0.692550,0.132249,0.685857,0.699243
pentatonic_conservative,amt_small_controlled,1500,0.742363,0.084548,0.738084,0.746642,0.810578,0.093329,0.805855,0.815301,0.692966,0.134737,0.686147,0.699784
pentatonic_creative,amt_small_controlled,1500,0.732727,0.084102,0.728471,0.736983,0.811480,0.092108,0.806819,0.816142,0.675699,0.133562,0.668940,0.682458
pentatonic_creative_wide,amt_small_controlled,1500,0.707014,0.091350,0.702391,0.711637,0.809788,0.089078,0.805280,0.814296,0.632592,0.147151,0.625145,0.640038
pentatonic_low_temp_no_strongbeat,amt_small_controlled,1500,0.747719,0.082915,0.743523,0.751915,0.802074,0.095799,0.797226,0.806922,0.708358,0.131447,0.701706,0.715010
pentatonic_no_theory,amt_small_controlled,1500,0.723827,0.091145,0.719214,0.728439,0.814651,0.089989,0.810097,0.819205,0.658057,0.143924,0.650774,0.665341
pentatonic_balanced,amt_small_raw,1500,0.568637,0.117334,0.562699,0.574575,0.571979,0.152708,0.564251,0.579707,0.566216,0.162489,0.557993,0.574439
pentatonic_conservative,amt_small_raw,1500,0.569748,0.120963,0.563627,0.575870,0.573334,0.158116,0.565332,0.581335,0.567152,0.166328,0.558735,0.575570
pentatonic_creative,amt_small_raw,1500,0.554091,0.111728,0.548436,0.559745,0.556869,0.141868,0.549690,0.564049,0.552079,0.146823,0.544648,0.559509
pentatonic_creative_wide,amt_small_raw,1500,0.540715,0.106126,0.535345,0.546086,0.549476,0.141082,0.542337,0.556616,0.534371,0.137642,0.527406,0.541337
pentatonic_low_temp_no_strongbeat,amt_small_raw,1500,0.570109,0.118362,0.564119,0.576098,0.569816,0.159372,0.561750,0.577881,0.570321,0.160349,0.562206,0.578435
pentatonic_no_theory,amt_small_raw,1500,0.562505,0.112977,0.556788,0.568223,0.560872,0.151029,0.553229,0.568515,0.563688,0.150113,0.556091,0.571285
pentatonic_balanced,motif_transform_baseline,1500,0.766679,0.075992,0.762833,0.770524,0.875392,0.070974,0.871800,0.878983,0.687955,0.125097,0.681625,0.694286
pentatonic_conservative,motif_transform_baseline,1500,0.766142,0.078900,0.762149,0.770135,0.874008,0.070329,0.870448,0.877567,0.688033,0.127796,0.681565,0.694500
pentatonic_creative,motif_transform_baseline,1500,0.758153,0.079263,0.754142,0.762164,0.876717,0.069871,0.873181,0.880253,0.672297,0.131796,0.665627,0.678967
pentatonic_creative_wide,motif_transform_baseline,1500,0.752208,0.078284,0.748246,0.756170,0.878485,0.067066,0.875091,0.881879,0.660766,0.130100,0.654182,0.667350
pentatonic_low_temp_no_strongbeat,motif_transform_baseline,1500,0.754408,0.078360,0.750443,0.758374,0.831971,0.095155,0.827155,0.836786,0.698242,0.121326,0.692102,0.704382
pentatonic_no_theory,motif_transform_baseline,1500,0.718500,0.082643,0.714318,0.722682,0.788597,0.101369,0.783467,0.793727,0.667740,0.132945,0.661012,0.674468
